user_id,region,gender,funnel_stage,ad_platform,click_through_rate,conversion_rate
U0131,Balochistan,Other,Loyalty,TikTok,0.23,0.02
U0132,Balochistan,Other,Awareness,Facebook,0.13,0.05
U0133,Sindh,Female,Loyalty,YouTube,0.08,0.2
U0134,KPK,Male,Interest,Facebook,0.24,0.12
U0135,Gilgit-Baltistan,Other,Loyalty,TikTok,0.13,0.02
U0136,Punjab,Male,Interest,TikTok,0.18,0.08
U0137,Punjab,Male,Consideration,Instagram,0.14,0.06
U0138,Punjab,Other,Consideration,Facebook,0.09,0.09
U0139,Balochistan,Male,Purchase,Facebook,0.13,0.1
U0140,Gilgit-Baltistan,Male,Purchase,Facebook,0.04,0.12
U0141,Gilgit-Baltistan,Male,Purchase,Facebook,0.22,0.02
U0142,Punjab,Female,Interest,Instagram,0.15,0.07
U0143,KPK,Male,Loyalty,YouTube,0.23,0.07
U0144,Sindh,Other,Purchase,Instagram,0.14,0.18
U0145,Balochistan,Male,Awareness,YouTube,0.2,0.15
U0146,KPK,Female,Consideration,YouTube,0.16,0.16
U0147,KPK,Other,Consideration,YouTube,0.04,0.08
U0148,Gilgit-Baltistan,Other,Interest,Instagram,0.22,0.05
U0149,KPK,Other,Awareness,YouTube,0.23,0.13
U0150,Sindh,Male,Awareness,TikTok,0.02,0.16
U0151,Balochistan,Other,Awareness,TikTok,0.02,0.2
U0152,Gilgit-Baltistan,Male,Consideration,Instagram,0.06,0.11
U0153,KPK,Male,Consideration,TikTok,0.01,0.18
U0154,Sindh,Other,Consideration,Facebook,0.04,0.12
U0155,Balochistan,Male,Loyalty,Instagram,0.15,0.13
U0156,Balochistan,Female,Purchase,TikTok,0.25,0.05
U0157,Gilgit-Baltistan,Other,Awareness,TikTok,0.12,0.13
U0158,Punjab,Male,Awareness,TikTok,0.15,0.08
U0159,Punjab,Male,Awareness,YouTube,0.22,0.1
U0160,Punjab,Female,Interest,YouTube,0.1,0.04
U0161,Gilgit-Baltistan,Male,Purchase,Facebook,0.2,0.17
U0162,Gilgit-Baltistan,Female,Purchase,Instagram,0.24,0.04
U0163,Gilgit-Baltistan,Other,Interest,TikTok,0.1,0.06
U0164,Punjab,Other,Loyalty,Instagram,0.09,0.11
U0165,Punjab,Female,Loyalty,Facebook,0.06,0.03
U0166,Punjab,Female,Interest,Facebook,0.19,0.06
U0167,KPK,Other,Loyalty,Facebook,0.19,0.14
U0168,Gilgit-Baltistan,Female,Loyalty,TikTok,0.24,0.18
U0169,Gilgit-Baltistan,Male,Purchase,YouTube,0.02,0.19
U0170,KPK,Other,Purchase,TikTok,0.25,0.09
U0171,Punjab,Other,Interest,YouTube,0.07,0.13
U0172,Balochistan,Other,Interest,TikTok,0.19,0.11
U0173,Balochistan,Other,Purchase,Instagram,0.06,0.18
U0174,Sindh,Female,Consideration,Instagram,0.07,0.2
U0175,KPK,Female,Purchase,TikTok,0.1,0.05
U0176,Sindh,Female,Interest,Facebook,0.11,0.06
U0177,Sindh,Other,Interest,Instagram,0.18,0.03
U0178,Balochistan,Male,Interest,YouTube,0.15,0.05
U0179,Gilgit-Baltistan,Male,Loyalty,Facebook,0.19,0.09
U0180,Balochistan,Female,Interest,YouTube,0.13,0.02
U0181,Gilgit-Baltistan,Female,Interest,TikTok,0.17,0.05
U0182,KPK,Male,Loyalty,Instagram,0.03,0.11
U0183,Punjab,Other,Consideration,TikTok,0.14,0.05
U0184,Balochistan,Other,Interest,TikTok,0.07,0.06
U0185,KPK,Male,Interest,YouTube,0.19,0.14
U0186,Punjab,Other,Interest,YouTube,0.17,0.14
U0187,KPK,Female,Interest,Facebook,0.19,0.18
U0188,Balochistan,Female,Awareness,TikTok,0.06,0.06
U0189,KPK,Other,Awareness,Instagram,0.2,0.01
U0190,Sindh,Male,Interest,YouTube,0.08,0.16
U0191,Balochistan,Other,Consideration,TikTok,0.22,0.08
U0192,Gilgit-Baltistan,Male,Awareness,Facebook,0.19,0.14
U0193,Gilgit-Baltistan,Male,Awareness,Instagram,0.21,0.03
U0194,Sindh,Female,Consideration,Facebook,0.06,0.11
U0195,Punjab,Female,Purchase,TikTok,0.22,0.04
U0196,Punjab,Male,Interest,YouTube,0.1,0.09
U0197,Gilgit-Baltistan,Female,Interest,Facebook,0.23,0.06
U0198,Punjab,Male,Consideration,Instagram,0.04,0.08
U0199,Gilgit-Baltistan,Male,Consideration,TikTok,0.13,0.06
U0200,Balochistan,Male,Interest,Facebook,0.2,0.08
U0201,KPK,Male,Awareness,YouTube,0.07,0.02
U0202,Punjab,Other,Consideration,Facebook,0.18,0.1
U0203,Sindh,Other,Awareness,YouTube,0.13,0.09
U0204,Gilgit-Baltistan,Female,Interest,TikTok,0.22,0.1
U0205,Sindh,Other,Awareness,YouTube,0.2,0.11
U0206,Sindh,Male,Interest,YouTube,0.19,0.17
U0207,Sindh,Other,Purchase,Instagram,0.08,0.07
U0208,Balochistan,Other,Interest,Facebook,0.05,0.03
U0209,Gilgit-Baltistan,Female,Interest,Instagram,0.22,0.01
U0210,Sindh,Female,Purchase,Facebook,0.12,0.13
U0211,Punjab,Male,Loyalty,Facebook,0.21,0.04
U0212,Sindh,Other,Interest,Instagram,0.21,0.19
U0213,Punjab,Male,Consideration,YouTube,0.05,0.12
U0214,KPK,Male,Purchase,Instagram,0.25,0.13
U0215,KPK,Male,Consideration,Instagram,0.11,0.09
U0216,KPK,Male,Interest,YouTube,0.19,0.14
U0217,Balochistan,Female,Loyalty,TikTok,0.14,0.18
U0218,KPK,Male,Interest,Facebook,0.16,0.17
U0219,Balochistan,Male,Loyalty,Instagram,0.07,0.07
U0220,Punjab,Other,Interest,TikTok,0.17,0.18
U0221,Sindh,Male,Purchase,Facebook,0.2,0.18
U0222,Sindh,Male,Awareness,YouTube,0.22,0.19
U0223,Gilgit-Baltistan,Other,Awareness,TikTok,0.03,0.16
U0224,Punjab,Other,Purchase,TikTok,0.24,0.17
U0225,KPK,Other,Interest,Instagram,0.19,0.09
U0226,Punjab,Other,Consideration,Facebook,0.23,0.08
U0227,Gilgit-Baltistan,Male,Awareness,Facebook,0.21,0.02
U0228,KPK,Other,Consideration,Facebook,0.2,0.17
U0229,Sindh,Female,Awareness,TikTok,0.14,0.06
U0230,Sindh,Female,Awareness,Facebook,0.05,0.01
U0231,Balochistan,Male,Interest,YouTube,0.2,0.02
U0232,KPK,Female,Loyalty,TikTok,0.2,0.13
U0233,Sindh,Male,Consideration,Instagram,0.13,0.09
U0234,Sindh,Female,Interest,YouTube,0.11,0.08
U0235,KPK,Male,Interest,Instagram,0.07,0.08
U0236,Punjab,Female,Consideration,Facebook,0.21,0.18
U0237,Gilgit-Baltistan,Female,Interest,Facebook,0.24,0.19
U0238,Punjab,Male,Interest,Instagram,0.13,0.03
U0239,Gilgit-Baltistan,Male,Awareness,TikTok,0.23,0.18
U0240,Sindh,Other,Interest,Facebook,0.15,0.07
U0241,Gilgit-Baltistan,Female,Interest,Facebook,0.15,0.09
U0242,Sindh,Male,Interest,YouTube,0.13,0.02
U0243,Punjab,Male,Interest,YouTube,0.22,0.15
U0244,Sindh,Female,Loyalty,YouTube,0.14,0.01
U0245,KPK,Female,Interest,TikTok,0.12,0.02
U0246,Balochistan,Male,Loyalty,TikTok,0.21,0.18
U0247,Balochistan,Female,Awareness,TikTok,0.01,0.09
U0248,Sindh,Male,Purchase,Instagram,0.2,0.04
U0249,Punjab,Male,Loyalty,Facebook,0.01,0.13
U0250,Sindh,Male,Awareness,Instagram,0.02,0.14
U0251,KPK,Female,Interest,Facebook,0.06,0.14
U0252,Gilgit-Baltistan,Other,Loyalty,TikTok,0.17,0.04
U0253,KPK,Other,Interest,YouTube,0.05,0.11
U0254,Balochistan,Female,Awareness,TikTok,0.05,0.14
U0255,Punjab,Female,Loyalty,TikTok,0.15,0.15
U0256,Punjab,Other,Purchase,Instagram,0.16,0.05
U0257,Balochistan,Female,Loyalty,Instagram,0.24,0.03
U0258,Punjab,Other,Awareness,Facebook,0.06,0.11
U0259,Sindh,Female,Purchase,Instagram,0.07,0.05
U0260,Sindh,Other,Purchase,YouTube,0.07,0.06
U0261,Sindh,Other,Interest,YouTube,0.07,0.13
U0262,Gilgit-Baltistan,Female,Awareness,YouTube,0.25,0.18
U0263,Balochistan,Male,Awareness,YouTube,0.13,0.08
U0264,Sindh,Female,Interest,TikTok,0.05,0.04
U0265,Sindh,Female,Loyalty,YouTube,0.07,0.11
U0266,Balochistan,Female,Interest,YouTube,0.16,0.07
U0267,Sindh,Female,Consideration,TikTok,0.19,0.08
U0268,Balochistan,Female,Purchase,TikTok,0.21,0.03
U0269,Sindh,Male,Awareness,Facebook,0.14,0.01
U0270,Sindh,Other,Loyalty,Facebook,0.03,0.2
U0271,Balochistan,Female,Consideration,TikTok,0.18,0.15
U0272,Gilgit-Baltistan,Female,Interest,Instagram,0.2,0.11
U0273,Gilgit-Baltistan,Other,Consideration,Facebook,0.19,0.02
U0274,Punjab,Female,Awareness,TikTok,0.22,0.06
U0275,Punjab,Other,Purchase,YouTube,0.07,0.13
U0276,Punjab,Male,Interest,Facebook,0.24,0.06
U0277,Balochistan,Other,Loyalty,Facebook,0.22,0.11
U0278,Gilgit-Baltistan,Female,Awareness,Instagram,0.1,0.02
U0279,Balochistan,Male,Awareness,Facebook,0.23,0.08
U0280,Balochistan,Male,Interest,Instagram,0.23,0.18
U0281,Sindh,Female,Loyalty,Instagram,0.08,0.01
U0282,KPK,Female,Consideration,Instagram,0.08,0.03
U0283,Punjab,Other,Loyalty,TikTok,0.13,0.19
U0284,Sindh,Female,Loyalty,Facebook,0.25,0.16
U0285,Balochistan,Other,Purchase,YouTube,0.19,0.13
U0286,Balochistan,Other,Awareness,Facebook,0.12,0.05
U0287,Punjab,Other,Interest,Instagram,0.09,0.14
U0288,KPK,Other,Loyalty,YouTube,0.01,0.03
U0289,Gilgit-Baltistan,Other,Interest,YouTube,0.09,0.01
U0290,KPK,Female,Interest,Instagram,0.06,0.09
U0291,Balochistan,Male,Purchase,Instagram,0.15,0.03
U0292,Gilgit-Baltistan,Other,Consideration,YouTube,0.15,0.01
U0293,Balochistan,Female,Consideration,Instagram,0.07,0.04
U0294,Punjab,Male,Awareness,TikTok,0.21,0.08
U0295,Gilgit-Baltistan,Other,Loyalty,Facebook,0.03,0.2
U0296,Sindh,Male,Consideration,Facebook,0.2,0.17
U0297,Punjab,Male,Consideration,Facebook,0.13,0.09
U0298,Punjab,Female,Interest,YouTube,0.23,0.05
U0299,Gilgit-Baltistan,Female,Awareness,Facebook,0.23,0.06
U0300,Sindh,Male,Consideration,TikTok,0.19,0.2
U0301,Balochistan,Other,Consideration,TikTok,0.12,0.01
U0302,Sindh,Other,Interest,Instagram,0.02,0.13
U0303,Punjab,Male,Consideration,Instagram,0.07,0.1
U0304,Punjab,Male,Loyalty,Instagram,0.14,0.11
U0305,KPK,Other,Purchase,Facebook,0.18,0.18
U0306,Gilgit-Baltistan,Male,Consideration,Facebook,0.08,0.16
U0307,Punjab,Other,Consideration,YouTube,0.22,0.19
U0308,Punjab,Other,Purchase,TikTok,0.24,0.2
U0309,Punjab,Other,Loyalty,Facebook,0.13,0.13
U0310,KPK,Other,Purchase,Facebook,0.02,0.07
U0311,Sindh,Male,Awareness,Instagram,0.25,0.08
U0312,Balochistan,Male,Loyalty,Instagram,0.06,0.07
U0313,KPK,Other,Interest,TikTok,0.11,0.12
U0314,Gilgit-Baltistan,Female,Awareness,YouTube,0.2,0.08
U0315,Gilgit-Baltistan,Male,Interest,TikTok,0.17,0.06
U0316,Sindh,Other,Awareness,Facebook,0.25,0.06
U0317,Balochistan,Other,Purchase,Instagram,0.24,0.08
U0318,Sindh,Male,Interest,Instagram,0.15,0.11
U0319,KPK,Other,Purchase,Instagram,0.21,0.1
U0320,Punjab,Male,Purchase,Instagram,0.13,0.11
U0321,Gilgit-Baltistan,Other,Purchase,Instagram,0.15,0.12
U0322,Punjab,Other,Interest,Instagram,0.15,0.14
U0323,Punjab,Male,Loyalty,Facebook,0.18,0.13
U0324,Balochistan,Other,Awareness,Facebook,0.12,0.12
U0325,Sindh,Female,Interest,YouTube,0.07,0.19
U0326,Punjab,Female,Loyalty,YouTube,0.13,0.14
U0327,KPK,Other,Awareness,YouTube,0.1,0.06
U0328,KPK,Other,Awareness,Instagram,0.04,0.09
U0329,Gilgit-Baltistan,Other,Purchase,TikTok,0.17,0.09
U0330,KPK,Female,Purchase,Facebook,0.07,0.1
U0331,Sindh,Other,Consideration,Instagram,0.19,0.02
U0332,Gilgit-Baltistan,Male,Purchase,TikTok,0.23,0.05
U0333,Gilgit-Baltistan,Male,Loyalty,TikTok,0.12,0.12
U0334,Gilgit-Baltistan,Male,Awareness,TikTok,0.14,0.09
U0335,Punjab,Female,Awareness,Instagram,0.05,0.18
U0336,Punjab,Male,Awareness,Instagram,0.07,0.09
U0337,Sindh,Male,Loyalty,Instagram,0.16,0.09
U0338,Sindh,Female,Consideration,YouTube,0.02,0.02
U0339,KPK,Other,Loyalty,Facebook,0.09,0.15
U0340,Gilgit-Baltistan,Other,Consideration,TikTok,0.2,0.17
U0341,Punjab,Other,Interest,TikTok,0.17,0.11
U0342,Balochistan,Female,Interest,Instagram,0.03,0.16
U0343,Punjab,Female,Loyalty,TikTok,0.12,0.18
U0344,KPK,Male,Purchase,TikTok,0.24,0.11
U0345,Punjab,Other,Loyalty,TikTok,0.17,0.06
U0346,Balochistan,Male,Consideration,YouTube,0.04,0.04
U0347,Balochistan,Other,Consideration,Facebook,0.05,0.08
U0348,Gilgit-Baltistan,Female,Purchase,Facebook,0.2,0.03
U0349,Gilgit-Baltistan,Other,Awareness,Facebook,0.15,0.03
U0350,Gilgit-Baltistan,Other,Awareness,Facebook,0.1,0.04
U0351,KPK,Female,Purchase,Facebook,0.17,0.06
U0352,Sindh,Other,Interest,Instagram,0.09,0.11
U0353,KPK,Female,Loyalty,Facebook,0.18,0.08
U0354,KPK,Female,Awareness,Instagram,0.24,0.07
U0355,Gilgit-Baltistan,Male,Loyalty,Instagram,0.04,0.09
U0356,Punjab,Male,Loyalty,Facebook,0.05,0.16
U0357,Gilgit-Baltistan,Other,Loyalty,Facebook,0.11,0.18
U0358,Balochistan,Other,Interest,Facebook,0.25,0.16
U0359,Punjab,Male,Loyalty,TikTok,0.18,0.11
U0360,Punjab,Male,Loyalty,Instagram,0.24,0.17
U0361,Gilgit-Baltistan,Female,Purchase,YouTube,0.08,0.03
U0362,Punjab,Female,Purchase,YouTube,0.19,0.12
U0363,Punjab,Female,Interest,YouTube,0.1,0.06
U0364,Punjab,Female,Consideration,TikTok,0.2,0.07
U0365,Balochistan,Male,Purchase,TikTok,0.11,0.16
U0366,KPK,Female,Consideration,Facebook,0.08,0.02
U0367,Balochistan,Female,Awareness,Instagram,0.22,0.16
U0368,KPK,Male,Awareness,Facebook,0.1,0.12
U0369,Punjab,Female,Loyalty,Instagram,0.12,0.08
U0370,Gilgit-Baltistan,Male,Loyalty,Facebook,0.21,0.11
U0371,Balochistan,Other,Awareness,Instagram,0.09,0.14
U0372,Balochistan,Other,Awareness,TikTok,0.13,0.15
U0373,Balochistan,Other,Awareness,TikTok,0.1,0.19
U0374,Sindh,Female,Loyalty,TikTok,0.15,0.06
U0375,KPK,Male,Purchase,YouTube,0.13,0.09
U0376,Gilgit-Baltistan,Male,Loyalty,Instagram,0.19,0.13
U0377,Sindh,Other,Loyalty,YouTube,0.07,0.05
U0378,Gilgit-Baltistan,Other,Awareness,TikTok,0.23,0.09
U0379,Balochistan,Other,Consideration,YouTube,0.14,0.11
U0380,Balochistan,Male,Awareness,Instagram,0.08,0.15
U0381,Punjab,Other,Purchase,Instagram,0.08,0.17
U0382,Punjab,Male,Consideration,Instagram,0.13,0.02
U0383,Punjab,Male,Awareness,Facebook,0.04,0.16
U0384,Balochistan,Other,Interest,TikTok,0.21,0.13
U0385,Punjab,Other,Interest,Facebook,0.07,0.14
U0386,Balochistan,Other,Awareness,Facebook,0.17,0.18
U0387,Balochistan,Other,Purchase,TikTok,0.07,0.08
U0388,Sindh,Male,Loyalty,TikTok,0.12,0.07
U0389,Sindh,Other,Awareness,YouTube,0.1,0.08
U0390,KPK,Male,Purchase,Instagram,0.06,0.02
U0391,Punjab,Male,Consideration,TikTok,0.21,0.02
U0392,KPK,Female,Loyalty,Instagram,0.04,0.08
U0393,Punjab,Other,Loyalty,Facebook,0.01,0.02
U0394,Balochistan,Female,Interest,TikTok,0.04,0.04
U0395,Sindh,Female,Awareness,YouTube,0.11,0.02
U0396,Sindh,Other,Loyalty,TikTok,0.07,0.04
U0397,KPK,Male,Interest,Facebook,0.16,0.09
U0398,KPK,Female,Awareness,Instagram,0.1,0.08
U0399,Balochistan,Male,Interest,TikTok,0.18,0.18
U0400,Gilgit-Baltistan,Female,Loyalty,Instagram,0.23,0.15
U0401,KPK,Female,Consideration,YouTube,0.16,0.03
U0402,Gilgit-Baltistan,Male,Interest,TikTok,0.11,0.01
U0403,Balochistan,Other,Interest,Instagram,0.1,0.18
U0404,Gilgit-Baltistan,Female,Awareness,YouTube,0.14,0.08
U0405,Punjab,Female,Purchase,TikTok,0.13,0.13
U0406,KPK,Male,Consideration,Facebook,0.18,0.09
U0407,KPK,Other,Loyalty,YouTube,0.13,0.13
U0408,Gilgit-Baltistan,Female,Consideration,Instagram,0.2,0.17
U0409,Punjab,Other,Consideration,Instagram,0.06,0.16
U0410,KPK,Other,Purchase,Instagram,0.22,0.13
U0411,Sindh,Female,Consideration,YouTube,0.15,0.07
U0412,Gilgit-Baltistan,Male,Consideration,YouTube,0.19,0.07
U0413,Balochistan,Male,Purchase,YouTube,0.24,0.06
U0414,Punjab,Female,Loyalty,TikTok,0.04,0.16
U0415,Balochistan,Other,Awareness,Instagram,0.06,0.06
U0416,KPK,Other,Interest,Facebook,0.04,0.19
U0417,Gilgit-Baltistan,Female,Consideration,YouTube,0.21,0.08
U0418,KPK,Female,Awareness,TikTok,0.15,0.05
U0419,Punjab,Female,Loyalty,Instagram,0.09,0.15
U0420,Balochistan,Female,Purchase,TikTok,0.13,0.07
U0421,Gilgit-Baltistan,Female,Consideration,Instagram,0.07,0.07
U0422,Balochistan,Other,Interest,Facebook,0.04,0.15
U0423,Sindh,Female,Awareness,Instagram,0.1,0.02
U0424,Punjab,Female,Consideration,Facebook,0.15,0.07
U0425,Gilgit-Baltistan,Other,Loyalty,TikTok,0.13,0.2
U0426,Punjab,Female,Awareness,Instagram,0.15,0.17
U0427,Punjab,Other,Consideration,YouTube,0.24,0.2
U0428,Punjab,Male,Consideration,YouTube,0.18,0.09
U0429,KPK,Other,Purchase,Facebook,0.13,0.06
U0430,Balochistan,Female,Awareness,Instagram,0.17,0.12
U0431,Balochistan,Female,Consideration,Instagram,0.09,0.09
U0432,Sindh,Male,Awareness,Instagram,0.12,0.17
U0433,Sindh,Male,Consideration,Instagram,0.05,0.11
U0434,KPK,Male,Awareness,Facebook,0.19,0.12
U0435,Punjab,Other,Awareness,Facebook,0.23,0.16
U0436,Sindh,Other,Loyalty,YouTube,0.03,0.2
U0437,Balochistan,Male,Loyalty,TikTok,0.01,0.03
U0438,Balochistan,Male,Loyalty,Instagram,0.11,0.11
U0439,KPK,Other,Purchase,TikTok,0.11,0.04
U0440,Sindh,Male,Awareness,Facebook,0.15,0.05
U0441,KPK,Male,Awareness,YouTube,0.22,0.13
U0442,Punjab,Male,Interest,Instagram,0.01,0.14
U0443,Gilgit-Baltistan,Female,Interest,Facebook,0.02,0.18
U0444,KPK,Female,Purchase,Facebook,0.22,0.09
U0445,Sindh,Other,Interest,Facebook,0.12,0.15
